country,country_id
Russia,1
Paraguay,2
Senegal,3
Sweden,4
Philippines,5
Malaysia,6
Singapore,7
Turkey,8
Germany,9
Cambodia,10
Jordan,11
France,12
Greece,13
Taiwan,14
Argentina,15
Belgium,16
Finland,17
Ghana,18
Peru,19
United States,20
India,21
China,22
Belarus,23
Kuwait,24
Somalia,25
Chile,26
Puerto Rico,27
Not Given,28
Soviet Union,29
Croatia,30
Nigeria,31
Italy,32
Norway,33
Spain,34
Denmark,35
Bangladesh,36
Iran,37
Ireland,38
Thailand,39
Hong Kong,40
Venezuela,41
Ukraine,42
Iceland,43
Israel,44
West Germany,45
South Korea,46
Cyprus,47
Uruguay,48
Mexico,49
Zimbabwe,50
Georgia,51
Indonesia,52
Guatemala,53
Syria,54
Saudi Arabia,55
Namibia,56
Switzerland,57
Jamaica,58
United Arab Emirates,59
Canada,60
Czech Republic,61
Mozambique,62
Brazil,63
Kenya,64
Lebanon,65
Slovenia,66
Japan,67
Luxembourg,68
New Zealand,69
Poland,70
Portugal,71
Australia,72
Cameroon,73
Romania,74
Bulgaria,75
Austria,76
Egypt,77
Serbia,78
South Africa,79
Colombia,80
Hungary,81
Pakistan,82
Mauritius,83
United Kingdom,84
Vietnam,85
Netherlands,86
