director,director_id
Eric Meza,1
Tommy Chong,2
John Wells,3
Erol Özlevi,4
Alejandro Hartmann,5
Jennifer Westcott,6
Neeraj Pandey,7
Wash Westmoreland,8
Patricia Font,9
Bobby Roth,10
Aleksey German,11
Rhiannon Bannenberg,12
Elizabeth Wood,13
Manish Jha,14
April Mullen,15
"Harry Elfont, Deborah Kaplan",16
Abdul Aziz Hashad,17
Will Gluck,18
Gail Willumsen,19
Jesús Magaña Vázquez,20
"Jacques Perrin, Jacques Cluzaud",21
John Milius,22
Luke Holland,23
Pramod Pawar,24
Cristina Jacob,25
Tània Balló,26
Mika Kaurismäki,27
Danish Aslam,28
Wouter Bouvijn,29
"Kate Mulleavy, Laura Mulleavy",30
Sherif Arafa,31
Zak Hilditch,32
Wong Kar Wai,33
Skye Borgman,34
Greg Pritikin,35
Kief Davidson,36
Ishi Rudell,37
Joe Miale,38
Hang-Jun Jang,39
Paulo Oriol,40
Manjeet Singh,41
Emilio Martínez Lázaro,42
Sam Upton,43
Anthony Wonke,44
Peter Sattler,45
Van M. Pham,46
"Noah Baumbach, Jake Paltrow",47
"Jon Hurwitz, Hayden Schlossberg",48
Mary Mazzio,49
Ken Burns,50
Simon Frederick,51
"Alejandro De Grazia, Juan Stadler",52
Maribel Sánchez-Maroto,53
Tom Ford,54
Lester Hsi,55
"Anurag Kashyap, Dibakar Banerjee, Karan Johar, Zoya Akhtar",56
Nicholas Kharkongor,57
Lee Seung-won,58
B. Unnikrishnan,59
Lauren Miller Rogen,60
Tig Notaro,61
Anthony Pierce,62
Gaby Dellal,63
Atul Malhotra,64
Salima Koroma,65
Jared Hess,66
Alphonso J. Wesson,67
Frédéric Tonolli,68
Benny Fredman,69
Stacy Title,70
Theodore Melfi,71
Mike Gunther,72
"Moyoung Jin, Caroline Sá, Deepti Kakkar, Fahad Mustafa, Hikaru Toda, Chico Pereira, Elaine McMillion Sheldon",73
Fermín Muguruza,74
Simon Stone,75
Michael Curtiz,76
Olivier Marchal,77
"TJ Sullivan, Greg Rankin",78
Madonna,79
Bolanle Austen-Peters,80
Anand Kamalakar,81
Phanindra Narsetti,82
To-hoi Kong,83
Daniel J. Clark,84
Byun Hyuk,85
Seren Yüce,86
"Nishanth Ravindaran, Jathin Sanker Raj",87
Remo D'Souza,88
Michael Kennedy,89
Thierry Donard,90
Pan Nalin,91
Kyle Newman,92
Jon Spira,93
Pooja Bhatt,94
Dylan C. Brown,95
"Colin Strause, Greg Strause",96
"Peter Lord, Jeff Newitt",97
Stephen Amezdroz,98
"Milla Harrison-Hansley, Alicky Sussman",99
Charles Martin,100
"Travon Free, Martin Desmond Roe",101
Cathy Garcia-Molina,102
Niyi Akinmolayan,103
Kabir Sadanand,104
He Xiaofeng,105
"David Chuang, Chen Kuan-chung",106
Shagufta Rafique,107
"Zoya Akhtar, Karan Johar, Anurag Kashyap, Dibakar Banerjee",108
Martin Zandvliet,109
Geun-hyun Cho,110
Constance Marks,111
"Mike McCoy, Scott Waugh",112
Michael Doneger,113
Wong Jing,114
Zachary Heinzerling,115
Asri Bendacha,116
"Vincente Minnelli, Charles Walters",117
Michael Mayer,118
Poj Arnon,119
Ofir Raul Graizer,120
Mark Waters,121
Pawan Kripalani,122
Akhigbe Ilozobhie,123
Fouad Al Shatti,124
Sermiyan Midyat,125
Ravishankar Venkateswaran,126
Michał Tylka,127
Edwin,128
Ísold Uggadóttir,129
Hatem Khraiche,130
Griffin Dunne,131
Ralph Macchio,132
"Jan Suter, Raúl Campos Delgado",133
Yvan Attal,134
Jody Lambert,135
"Ken Burns, Artemis Joukowsky",136
Benoît Jacquot,137
"Mahin Ibrahim, Austin Kolodney, Will Lowell, David Beier, Dave Dorsey, Xu Zhang, Alana Waksman, Jon YonKondy, Drue Metz, Brandon Somerhalder",138
Jijo Pancode,139
Shawn Crahan,140
Rowan Athale,141
Vidhu Vinod Chopra,142
TT The Artist,143
Ti West,144
Rajesh Ganguly,145
Mohit Suri,146
"Julia Willoughby Nason, Jenner Furst",147
Justin Webster,148
"Mariana Tschudi, Héctor Gálvez",149
Reem Kherici,150
Meghan O'Hara,151
"Hemant Gaba, Pratim D. Gupta, Sudhish Kamath, Nalan Kumarasamy, Anu Menon, Sandeep Mohan, Qaushiq Mukherjee, Rajshree Ojha, Raja Sen, Abhinav Shiv Tiwari, Suparn Verma",152
Harrison Smith,153
Jenny Carchman,154
Michael Roberts,155
Jennifer Peedom,156
"Peter Farrelly, Will Graham, Steve Carr, Griffin Dunne, Steve Brill, James Duffy, Jonathan van Tulleken, Elizabeth Banks, Patrik Forsberg, Brett Ratner, Rusty Cundieff, James Gunn",157
Billy Bob Thornton,158
Zakariya,159
Chad Archibald,160
Park In-je,161
"Heber Cannon, Mariah Moore, Marston Sawyers",162
Chineze Anyaene,163
Jerry Rothwell,164
"Bao Nhan, Namcito",165
Kaashvie Nair,166
Anna Wieczur-Bluszcz,167
"Thierry Demaizière, Alban Teurlai",168
Teddy Chan,169
"Muharrem Gülmez, Sırrı Süreyya Önder",170
Desingh Periyasamy,171
Kenny Leon,172
Archie Borders,173
"Joel Coen, Ethan Coen",174
Ayaan Mukherji,175
Choi Jin-seong,176
Seth Henrikson,177
Hasraf Dulull,178
"Fabrizio Copano, Augusto Matte",179
Phil Weinstein,180
Chris Stokes,181
"Asit Mohapatra, Shyamal Chaulia",182
Jason James,183
"Jon Carey, Adam Darke",184
Steven Gomez,185
"Pascal Blanchard, Sonia Dauger, David Dietz",186
Sabu Varghese,187
Rushmore DeNooyer,188
Oliver Twinch,189
Jasmine D'Souza,190
Raman Kumar,191
Michael Patrick King,192
Elliot Hegarty,193
Mark Osborne,194
"Will Lockhart, Cole D. Pruitt",195
Just Philippot,196
Alejandro Doria,197
Frank Marshall,198
Sydney Pollack,199
Alexis Morante,200
Bedran Güzel,201
Eylem Kaftan,202
Jeff Orlowski,203
Saeed Hamed,204
Baljit Singh Deo,205
Alo Sarkar,206
Will Canon,207
Bauddhayan Mukherji,208
Louis Leterrier,209
Danny Leiner,210
Keiichi Hara,211
Atsajun Sattakovit,212
Raymond McGrath,213
Esteban Sapir,214
Michael Mazzola,215
Alan Parker,216
Kevin Johnson,217
Ron Krauss,218
Sophia Nahli Allison,219
Chairun Nissa,220
Jeff Baena,221
"Glen Goei, Gavin Yap",222
Tianyu Zhao,223
Awi Suryadi,224
Jonathan Helpert,225
Andrew Lau Wai-Keung,226
Alice Rohrwacher,227
Sara Dosa,228
Arthur Allan Seidelman,229
Julien Christian Lutz,230
Joshua Caldwell,231
Rob Cohen,232
Tilak Shetty,233
Piti Jaturaphat,234
Alice Waddington,235
Prakash Satam,236
"Appie Boudellah, Aram van de Rest",237
Ramin Bahrani,238
Rachel Talalay,239
Kris Pearn,240
Stephanie Zwane,241
Hikari,242
"Vikramaditya Motwane, Anurag Kashyap",243
Michael Epstein,244
Sriram Raghavan,245
Sundar C.,246
"Joanna Lombardi, Bruno Ascenzo",247
Rajan Madhav,248
Kabir Khan,249
Olivia Newman,250
Antonio Serrano,251
Buzz Kulik,252
Chris Blake,253
Majid Majidi,254
Stuart Baird,255
Harold Cronk,256
Dhilip Kumar,257
Syed Ahmad Afzal,258
Steven Knight,259
Prabhuraj,260
Pratim D. Gupta,261
"Roman Atwood, Ben Pluimer",262
Brian O'Malley,263
Joseph Sargent,264
Laxman Utekar,265
Hideaki Takizawa,266
Nibal Arakji,267
Jastis Arimba,268
Yandy Laurens,269
Eric Bress,270
"Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla",271
Tetsuo Yajima,272
Mukesh Vohra,273
Vinod Kapri,274
Gonzalo López-Gallego,275
Noam Murro,276
Sergio Barrejón,277
Yang Woo-seok,278
Kazuya Murata,279
Shazia Javed,280
Tony Kaye,281
Jon Manning,282
Ken Loach,283
Pa. Ranjith,284
Jonathan Taylor,285
"Ken Burns, Lynn Novick",286
Robert Eggers,287
Toshiya Shinohara,288
Anthony Minghella,289
Barbra Streisand,290
Anna Elizabeth James,291
Hemambar Jasti,292
Jeff Deverett,293
Ángel Gómez Hernández,294
"Tony Bancroft, Scott Christian Sava",295
Stéphane de Freitas,296
Christopher Storer,297
Tharun Bhascker,298
Paul Miller,299
Yayo Herrero,300
Riccardo Milani,301
Ben Younger,302
Keanu Reeves,303
Jacek Koprowicz,304
"William Lau, Sylvain Blais",305
Nick Cassavetes,306
Peter Pardini,307
Tim Rouhana,308
C.J. Wallis,309
Marina Willer,310
Robert Kouba,311
Kieran Darcy-Smith,312
Sara Colangelo,313
Jason Hehir,314
Tim Burton,315
Justin P. Lange,316
"Arnon Manor, Timothy Ware-Hill",317
Gil Kenan,318
Mohammad Adel,319
"Norm Hiscock, Gary Howsam, Mike Smith, John Paul Tremblay, Robb Wells",320
Ahmed Saleh,321
Emcy Joseph,322
Ziggy Hofmeyr,323
Tsutomu Mizushima,324
Jagdeep Sidhu,325
Rachel Lears,326
Jennifer Kaytin Robinson,327
Ulises Valencia,328
Soukarya Ghosal,329
"Eric Idle, Aubrey Powell",330
Ludovic Bernard,331
Rob Silvestri,332
Mike Wiluan,333
Sam Patton,334
Patrik Syversen,335
Steve Race,336
Santosh Manjrekar,337
Derek Hui,338
Nagesh Kukunoor,339
